Sample,Target,Concentration,Replicate,Method,Concentration_adj,Viral_type
Unconcentrated,Astrovirus,78.21,R3,UNC,6256.8,Endogenous
Unconcentrated,LCMV,0,R3,UNC,0,Spike-in
Unconcentrated,MS2,0,R3,UNC,0,Spike-in
Unconcentrated,PhiX174,0,R3,UNC,0,Spike-in
Unconcentrated,Vaccinia,0,R3,UNC,0,Spike-in
Unconcentrated,Influenza PR8,0,R3,UNC,0,Spike-in
Unconcentrated,HPV-E1,796.7,R3,UNC,63736,Endogenous
Unconcentrated,Adenovirus,2.174,R3,UNC,173.92,Endogenous
Unconcentrated,RotavirusA,0,R3,UNC,0,Endogenous
Unconcentrated_Spike,Astrovirus,66.03,R1,UNC_Sp,5282.4,Endogenous
Unconcentrated_Spike,MS2,106.2,R1,UNC_Sp,8496,Spike-in
Unconcentrated_Spike,PhiX174,17.55,R1,UNC_Sp,1404,Spike-in
Unconcentrated_Spike,Vaccinia,2.094,R1,UNC_Sp,167.52,Spike-in
Unconcentrated_Spike,Influenza PR8,35.54,R1,UNC_Sp,2843.2,Spike-in
Unconcentrated_Spike,HPV-E1,879.4,R1,UNC_Sp,70352,Endogenous
Unconcentrated_Spike,Adenovirus,0.967,R1,UNC_Sp,77.36,Endogenous
Unconcentrated_Spike,RotavirusA,0,R1,UNC_Sp,0,Endogenous
Unconcentrated_Spike,Astrovirus,55.78,R2,UNC_Sp,4462.4,Endogenous
Unconcentrated_Spike,MS2,113,R2,UNC_Sp,9040,Spike-in
Unconcentrated_Spike,PhiX174,17.37,R2,UNC_Sp,1389.6,Spike-in
Unconcentrated_Spike,Vaccinia,1.307,R2,UNC_Sp,104.56,Spike-in
Unconcentrated_Spike,Influenza PR8,38.31,R2,UNC_Sp,3064.8,Spike-in
Unconcentrated_Spike,HPV-E1,762.7,R2,UNC_Sp,61016,Endogenous
Unconcentrated_Spike,Adenovirus,1.798,R2,UNC_Sp,143.84,Endogenous
Unconcentrated_Spike,RotavirusA,0,R2,UNC_Sp,0,Endogenous
Unconcentrated_Spike,Astrovirus,51.84,R3,UNC_Sp,4147.2,Endogenous
Unconcentrated_Spike,MS2,97.66,R3,UNC_Sp,7812.8,Spike-in
Unconcentrated_Spike,PhiX174,18.32,R3,UNC_Sp,1465.6,Spike-in
Unconcentrated_Spike,Vaccinia,2.587,R3,UNC_Sp,206.96,Spike-in
Unconcentrated_Spike,Influenza PR8,33.75,R3,UNC_Sp,2700,Spike-in
Unconcentrated_Spike,HPV-E1,1030.3,R3,UNC_Sp,82424,Endogenous
Unconcentrated_Spike,Adenovirus,2.321,R3,UNC_Sp,185.68,Endogenous
Unconcentrated_Spike,RotavirusA,0,R3,UNC_Sp,0,Endogenous
Vac. direct capture,Astrovirus,42.36,R1,VDC,42.36,Endogenous
Vac. direct capture,LCMV,98.6,R1,VDC,98.6,Spike-in
Vac. direct capture,MS2,6661,R1,VDC,6661,Spike-in
Vac. direct capture,PhiX174,987.8,R1,VDC,987.8,Spike-in
Vac. direct capture,Vaccinia,11.65,R1,VDC,11.65,Spike-in
Vac. direct capture,Influenza PR8,2414.5,R1,VDC,2414.5,Spike-in
Vac. direct capture,HPV-E1,328,R1,VDC,328,Endogenous
Vac. direct capture,Adenovirus,76.03,R1,VDC,76.03,Endogenous
Vac. direct capture,RotavirusA,1.507,R1,VDC,1.507,Endogenous
Vac. direct capture,Astrovirus,45.14,R2,VDC,45.14,Endogenous
Vac. direct capture,LCMV,111.1,R2,VDC,111.1,Spike-in
Vac. direct capture,MS2,7025.7,R2,VDC,7025.7,Spike-in
Vac. direct capture,PhiX174,1044.8,R2,VDC,1044.8,Spike-in
Vac. direct capture,Vaccinia,13.56,R2,VDC,13.56,Spike-in
Vac. direct capture,Influenza PR8,2619.9,R2,VDC,2619.9,Spike-in
Vac. direct capture,HPV-E1,195,R2,VDC,195,Endogenous
Vac. direct capture,Adenovirus,134,R2,VDC,134,Endogenous
Vac. direct capture,RotavirusA,2.842,R2,VDC,2.842,Endogenous
Vac. direct capture,Astrovirus,61.28,R3,VDC,61.28,Endogenous
Vac. direct capture,LCMV,107.7,R3,VDC,107.7,Spike-in
Vac. direct capture,MS2,7198.2,R3,VDC,7198.2,Spike-in
Vac. direct capture,PhiX174,833.2,R3,VDC,833.2,Spike-in
Vac. direct capture,Vaccinia,10.65,R3,VDC,10.65,Spike-in
Vac. direct capture,Influenza PR8,2444.5,R3,VDC,2444.5,Spike-in
Vac. direct capture,HPV-E1,180.5,R3,VDC,180.5,Endogenous
Vac. direct capture,Adenovirus,119.2,R3,VDC,119.2,Endogenous
Vac. direct capture,RotavirusA,1.647,R3,VDC,1.647,Endogenous
Vac. direct capture Pellet,Astrovirus,48.85,R1,VDCP,48.85,Endogenous
Vac. direct capture Pellet,LCMV,4.537,R1,VDCP,4.537,Spike-in
Vac. direct capture Pellet,MS2,49.93,R1,VDCP,49.93,Spike-in
Vac. direct capture Pellet,PhiX174,8.02,R1,VDCP,8.02,Spike-in
Vac. direct capture Pellet,Vaccinia,1.867,R1,VDCP,1.867,Spike-in
